year	Academy Award	Winner	Movie Name	Producer	IMDB Rating	IMDB Votes	Tomatometer	Average Critic Score	Percent Audience Liked	Average Audience Score	Release Date	Production Budget	Domestic Gross	Worldwide Gross	Normalized Budget	Normalized Gross	Return on Investment
2010	83rd	FALSE	Winter's Bone	Anne Rosellini and Alix Madigan-Yorkin	7.2	113015	94	8.3	76	7.4	6/11/2010	2000000	6531503	16131551	0.004705742	0.005794548	8.0657755
2010	83rd	FALSE	True Grit	Scott Rudin	7.7	245009	96	8.4	85	8	12/22/2010	35000000	171243005	252276928	0.082352812	0.09061935	7.207912229
2010	83rd	FALSE	Toy Story 3	Darla K. Anderson	8.3	556525	99	8.9	89	8.6	6/18/2010	200000000	415004880	1069818229	0.470588161	0.384284972	5.349091145
2010	83rd	FALSE	127 Hours	Christian Colson	7.3	9	93	8.3	85	8	11/5/2010	18000000	18335230	60217171	0.042352806	0.02163036	3.345398389
2010	83rd	TRUE	The King's Speech	Iain Canning	8	514217	95	8.6	92	8.6		15000000		138795342	0.035293982	0.0498561	9.2530228
2010	83rd	FALSE	Black Swan	Mike Medavoy	6.3	7	87	8.2	84	8	12/3/2010	13000000	106954678	331266710	0.030588098	0.118992942	25.48205462
2010	83rd	FALSE	The Kids Are All Right	Gary Gilbert	7.3	7	93	7.8	73	7.2	7/9/2010	4000000	20811365	36275469	0.009411625	0.013030361	9.06886725
2010	83rd	FALSE	Inception	Emma Thomas and Christopher Nolan	7.6	569	86	8.1	91	8.4	7/16/2010	160000000	292576195	832584416	0.3764705	0.299069198	5.2036526
2010	83rd	FALSE	The Fighter	David Hoberman	7.8	29	90	7.8	89	8.2	12/10/2010	11000000	93617009	129262388	0.025882215	0.046431807	11.75112618
2009	82nd	FALSE	A Serious Man	Joel Coen and Ethan Coen	7	103802	89	7.9	67	7	10/2/2009	7000000	9228788	30360570	0.016470449	0.010905695	4.337224286
2009	82nd	FALSE	Inglourious Basterds	Lawrence Bender	8.3	905555	89	7.8	87	7.8	8/20/2009	70000000	120774594	316915264	0.164705764	0.113837819	4.527360914
2009	82nd	FALSE	Precious: Based on the Novel 'Push' by Sapphire	Lee Daniels	7.3	88297	91	7.8	81	7.2		10000000		47536959	0.023529274	0.017075554	4.7536959
2009	82nd	FALSE	Up in the Air	Daniel Dubiecki	7.2	71	91	8.1	79	7.4	12/4/2009	30000000	83823381	166842739	0.070588104	0.059930889	5.561424633
2009	82nd	FALSE	Up	Jonas Rivera	6.3	98	98	8.7	90	7.6	5/29/2009	175000000	293004164	731542621	0.411764623	0.262774393	4.180243549
2009	82nd	FALSE	The Blind Side	Gil Netter	7.7	227224	66	6.1	85	8.2	11/20/2009	35000000	255959475	305705794	0.082352812	0.109811311	8.734451257
2009	82nd	FALSE	An Education	Finola Dwyer and Amanda Posey	3.4	71	94	7.9	80	7.6	10/9/2009	7500000	12574914	29652736	0.01764692	0.010651436	3.953698133
2009	82nd	FALSE	District 9	Peter Jackson and Carolynne Cunningham	7.2	9	90	7.8	82	7	8/14/2009	30000000	115646235	212453431	0.070588104	0.076314517	7.081781033
2009	82nd	TRUE	The Hurt Locker	Kathryn Bigelow	7.1	375	98	8.5	84	7.8	6/26/2009	15000000	17017811	49894223	0.035293982	0.017922297	3.326281533
2009	82nd	FALSE	Avatar	James Cameron and Jon Landau	7.9	899530	83	7.5	82	8.2	12/18/2009	425000000	760507625	2783918982	1	1	6.550397605
2008	81st	FALSE	Frost/Nixon	Brian Grazer	7.7	89381	92	7.9	88	7.6	12/5/2008	29000000	18622031	28452945	0.068235163	0.010220465	0.981136035
2008	81st	TRUE	Slumdog Millionaire	Christian Colson	8	651130	92	8.4	90	8	11/12/2008	14000000	141319928	384519665	0.03294104	0.138121715	27.46569036
2008	81st	FALSE	Milk	Dan Jinks and Bruce Cohen	9.3	6	94	8	89	8	11/26/2008	20000000	31841299	57293371	0.047058689	0.020580114	2.86466855
2008	81st	FALSE	The Reader	Anthony Minghella	7.6	192318	82	7.1	71	7.2	12/10/2008	32500000	34194407	113019290	0.076470458	0.040597191	3.477516615
2008	81st	FALSE	The Curious Case of Benjamin Button	Kathleen Kennedy	7.8	466710	72	7.1	80	7.4	12/25/2008	160000000	127509326	329809326	0.3764705	0.118469441	2.061308288
2007	80th	FALSE	Michael Clayton	Sydney Pollack	7.3	135029	90	7.6	69	7	10/5/2007	21500000	49033882	92987651	0.050588101	0.033401709	4.325007023
2007	80th	FALSE	Atonement	Tim Bevan	9	6	83	7.4	80	7.6	12/7/2007	30000000	50980159	129779728	0.070588104	0.046617638	4.325990933
2007	80th	FALSE	Juno	Lianne Halfon	7.5	419757	94	8.1	88	8.2	12/5/2007	7000000	143495265	231450102	0.016470449	0.083138232	33.06430029
2007	80th	TRUE	No Country for Old Men	Scott Rudin	8.1	626193	93	8.7	86	8	11/9/2007	25000000	74273505	164051250	0.058823397	0.05892817	6.56205
2007	80th	FALSE	There Will Be Blood	JoAnne Sellar	8.2	6	91	8.4	86	8	12/26/2007	25000000	40222514	77208711	0.058823397	0.027733821	3.08834844
2006	79th	FALSE	The Queen	Andy Harries	7.3	86435	92	7.3	88	8.4	9/30/2006	15000000	56441711	128885873	0.035293982	0.04629656	8.592391533
2006	79th	TRUE	The Departed	Graham King	8.5	891309	91	8.2	94	8.2	10/6/2006	90000000	132384315	289660619	0.211764595	0.104047791	3.218451322
2006	79th	FALSE	Letters from Iwo Jima	Clint Eastwood	7.9	133474	91	8.2	86	7.6	12/20/2006	13000000	13756082	67867998	0.030588098	0.024378582	5.220615231
2006	79th	FALSE	Little Miss Sunshine	David T. Friendly	7.8	361214	91	7.7	91	8	7/26/2006	8000000	59891098	100642353	0.018823391	0.036151323	12.58029413
2006	79th	FALSE	Babel	Alejandro González Iñárritu	7.5	246744	100	7.2	83	7.2	10/27/2006	20000000	34302837	132121212	0.047058689	0.047458713	6.6060606
2005	78th	FALSE	Munich	Kathleen Kennedy	4.6	30	78	7.5	83	7.2	12/23/2005	75000000	47379090	131492772	0.176470472	0.047232974	1.75323696
2005	78th	FALSE	Good Night and Good Luck.	Grant Heslov	7.5	84690	93	8.1	83	7.2			7500000				
2005	78th	TRUE	Crash	Paul Haggis and Cathy Schulman	5.3	9	75	6.8	70	7	5/6/2005	7303082	55334418	101173038	0.017183584	0.036341948	13.85347145
2005	78th	FALSE	Capote	Caroline Baron	7.4	102036	90	8.2	81	7.2	9/30/2005	7000000	28750530	49924079	0.016470449	0.017933022	7.132011286
2005	78th	FALSE	Brokeback Mountain	Diana Ossana and James Schamus	7.7	263100	87	8.2	82	6.8	12/9/2005	13900000	83043761	177012173	0.032705746	0.063583809	12.73468871
2004	77th	TRUE	Million Dollar Baby	Clint Eastwood	8.1	491177	91	8.4	90	7.6	12/15/2004	30000000	100492203	232016402	0.070588104	0.08334165	7.733880067
2004	77th	FALSE	The Aviator	Michael Mann and Graham King	7.5	268588	87	7.8	79	6.8	12/17/2004	110000000	102608827	208370892	0.258823425	0.074848045	1.894280836
2004	77th	FALSE	Finding Neverland	Richard N. Gladstein and Nellie Bellflower	7.8	176051	83	7.5	87	7.4	11/12/2004	25000000	51676606	115036108	0.058823397	0.041321644	4.60144432
2004	77th	FALSE	Ray	Taylor Hackford	8.8	97	81	7.3	87	7.6	10/29/2004	40000000	75305995	124823094	0.094117519	0.044837186	3.12057735
2004	77th	FALSE	Sideways	Michael London	7.5	151701	96	8.5	78	6.8	10/22/2004	17000000	71502303	109793192	0.039999865	0.039438358	6.458423059
2003	76th	TRUE	The Lord of the Rings: The Return of the King	Barrie M. Osborne	8.3	1724	95	8.7	86	7.4	12/17/2003	94000000	377845905	1141408667	0.221176361	0.410000677	12.14264539
2003	76th	FALSE	Lost in Translation	Ross Katz and Sofia Coppola	6.8	6	95	8.4	86	7.2	9/12/2003	4000000	44585453	117085297	0.009411625	0.042057724	29.27132425
2003	76th	FALSE	Master and Commander: The Far Side of the World	Samuel Goldwyn	7.4	170223	85	7.6	80	6.8	11/14/2003	135000000	93926386	212912137	0.317646963	0.076479286	1.577126941
2003	76th	FALSE	Seabiscuit	Kathleen Kennedy	8	69	77	7.1	76	6.6	7/25/2003	86000000	120277854	148715342	0.202352829	0.053419422	1.729248163
2003	76th	FALSE	Mystic River	Robert Lorenz	8	343132	87	7.7	89	7.4	10/8/2003	30000000	90135191	156822020	0.070588104	0.056331388	5.227400667
2002	75th	FALSE	The Pianist	Roman Polanski	8.5	510731	96	8.2	95	8.2	12/27/2002	35000000	32519322	111854182	0.082352812	0.040178677	3.195833771
2002	75th	FALSE	The Lord of the Rings: The Two Towers	Barrie M. Osborne	8.3	1979	96	8.5	95	8.2	12/18/2002	94000000	342548984	934703179	0.221176361	0.335750855	9.94365084
2002	75th	FALSE	The Hours	Scott Rudin and Robert Fox	7.6	103404	81	7.4	84	7.4	12/27/2002	25000000	41675994	97030468	0.058823397	0.034853912	3.88121872
2002	75th	FALSE	Gangs of New York	Alberto Grimaldi and Harvey Weinstein	6.7	83	75	7.1	81	7	12/20/2002	97000000	77730500	183124621	0.228235185	0.065779436	1.887882691
2002	75th	TRUE	Chicago	Martin Richards	8	24	86	8	83	7	12/27/2002	30000000	170687518	306776732	0.070588104	0.110195999	10.22589107
2001	74th	FALSE	In the Bedroom	Graham Leader	7.5	32655	93	7.9	81	7.4	11/23/2001	1700000	35930604	42137871	0.003999859	0.01513617	24.78698294
2001	74th	TRUE	A Beautiful Mind	Brian Grazer and Ron Howard	8.2	624867	75	7.2	93	7.8	12/21/2001	78000000	170708996	317668058	0.183529297	0.114108227	4.07266741
2001	74th	FALSE	Gosford Park	Robert Altman	7.3	65928	86	7.5	78	7	12/26/2001	18000000	41300105	41300105	0.042352806	0.01483524	2.294450278
2001	74th	FALSE	The Lord of the Rings: The Fellowship of the Ring	Peter Jackson	8.8	1260698	91	8.2	95	8.2	12/19/2001	109000000	315544750	887217688	0.256470483	0.318693789	8.139611817
2001	74th	FALSE	Moulin Rouge	Martin Brown	7.6	226437	76	7.1	89	7.4	5/18/2001	53000000	57386369	179213196	0.124705759	0.064374429	3.381381057
2000	73rd	FALSE	Traffic	Edward Zwick	5.1	79	92	8	85	7.2	12/27/2000	48000000	124107476	208300000	0.112941051	0.07482258	4.339583333
2000	73rd	FALSE	Crouching Tiger Hidden Dragon	Bill Kong	7.9	219473	97	8.6	86	7.2			17000000				
2000	73rd	FALSE	Erin Brockovich	Danny DeVito	5.3	31	84	7.3	80	7	3/17/2000	50000000	125548685	257805243	0.117646934	0.092605153	5.15610486
2000	73rd	TRUE	Gladiator	Douglas Wick	6.7	68	76	7.2	87	7.6	5/5/2000	103000000	187683805	457683805	0.242352834	0.164402703	4.443532087
2000	73rd	FALSE	Chocolat	David Brown	7.6	72	63	6	83	7.2	12/15/2000	25000000	71309760	152500343	0.058823397	0.054779016	6.10001372
1999	72nd	FALSE	The Sixth Sense	Frank Marshall	8.1	716993	85	7.6	89	7.6	8/6/1999	40000000	293506292	672806292	0.094117519	0.24167596	16.8201573
1999	72nd	FALSE	The Insider	Michael Mann and Pieter Jan Brugge	7.9	135168	96	8.1	90	7.6	11/5/1999	68000000	28965197	60265197	0.159999881	0.021647612	0.886252897
1999	72nd	FALSE	The Green Mile	David Valdes and Frank Darabont	8.5	803074	80	6.8	94	8.2	12/10/1999	60000000	136801374	290701374	0.141176349	0.104421636	4.8450229
1999	72nd	FALSE	The Cider House Rules	Richard N. Gladstein	7.4	79875	71	6.6	77	6.8			24000000				
1999	72nd	TRUE	American Beauty	Bruce Cohen and Dan Jinks	8.4	837628	88	8.2	93	7.6	9/15/1999	15000000	130058047	356258047	0.035293982	0.127969977	23.75053647
1998	71st	TRUE	Shakespeare in Love	David Parfitt	7.2	177748	92	8.3	80	6.8	12/11/1998	26000000	100317794	279500000	0.061176338	0.100398037	10.75
1998	71st	FALSE	Saving Private Ryan	Steven Spielberg	8.6	900171	92	8.6	95	8	7/24/1998	65000000	216335085	485035085	0.152941057	0.174227443	7.462078231
1998	71st	FALSE	The Thin Red Line	Robert Michael Geisler	7.6	140738	78	7.2	80	7	12/23/1998	52000000	36400491	97709034	0.122352817	0.035097657	1.879019885
1998	71st	FALSE	Life Is Beautiful	Elda Ferri and Gianluigi Braschi	8.6	431336	80	7.5	96	8.6			20000000				
1998	71st	FALSE	Elizabeth	Alison Owen	7.5	76866	82	7.3	86	7.6	11/6/1998	25000000	30082699	82150642	0.058823397	0.029508992	3.28602568
1997	70th	TRUE	Titanic	James Cameron and Jon Landau	7.7	806858	88	8	69	6.6	12/19/1997	200000000	658672302	2207615668	0.470588161	0.792988475	11.03807834
1997	70th	FALSE	L.A. Confidential	Arnon Milchan	8.3	421424	99	8.7	94	7.6	9/19/1997	35000000	64604977	126204977	0.082352812	0.045333567	3.605856486
1997	70th	FALSE	Good Will Hunting	Lawrence Bender	8.3	618670	97	8.1	94	7.8	12/5/1997	10000000	138433435	225933435	0.023529274	0.081156613	22.5933435
1997	70th	FALSE	The Full Monty	Uberto Pasolini	7.2	83114	95	7.5	79	6.6	8/13/1997	3500000	45950122	257938649	0.008235154	0.092653073	73.69675686
1997	70th	FALSE	As Good as It Gets	James L. Brooks	7.7	227157	86	7.2	86	7			50000000				
1996	69th	FALSE	Jerry Maguire	James L. Brooks	7.3	192695	82	7.6	79	6.6	12/13/1996	50000000	153952592	274000000	0.117646934	0.098422404	5.48
1996	69th	FALSE	Secrets & Lies	Simon Channing-Williams	7.1	7	94	8.6	91	8.2	9/28/1996	4500000	13417292	13417292	0.010588096	0.00481957	2.981620444
1996	69th	TRUE	The English Patient	Saul Zaentz	7.4	144228	84	7.6	83	7.2	11/15/1996	35000000	78716374	231716374	0.082352812	0.083233878	6.620467829
1996	69th	FALSE	Shine	Jane Scott	7.7	43644	91	8.1	90	7.6	11/22/1996	5500000	35811509	36554909	0.012941037	0.013130737	6.646347091
1996	69th	FALSE	Fargo	Ethan Coen	8.1	463308	94	8.7	93	7.8	3/8/1996	7000000	24567751	51204567	0.016470449	0.01839298	7.314938143
1995	68th	FALSE	Sense and Sensibility	Lindsay Doran	7.7	79554	98	8	90	7.6	12/11/1995	16500000	42993774	134993774	0.038823394	0.048490554	8.181440849
1995	68th	FALSE	The Postman (Il Postino)	Mario Cecchi Gori	7.8	26597	93	8	94	8.2			3000000				
1995	68th	TRUE	Braveheart	Mel Gibson	8.4	750378	78	7.2	85	7.6	5/24/1995	72000000	75545647	209045647	0.169411647	0.075090421	2.903411764
1995	68th	FALSE	Babe	George Miller	6.8	95477	97	8.3	67	6	8/4/1995	30000000	63658910	246100000	0.070588104	0.088400561	8.203333333
1995	68th	FALSE	Apollo 13	Brian Grazer	3.8	5	95	8.2	86	7.2	6/30/1995	65000000	172070496	334100000	0.152941057	0.120010676	5.14
1994	67th	FALSE	Pulp Fiction	Lawrence Bender	7.7	14	94	9.1	96	8.4	10/14/1994	8000000	107928762	212928762	0.018823391	0.076485258	26.61609525
1994	67th	FALSE	Four Weddings and a Funeral	Duncan Kenworthy	7.1	109344	95	7.6	74	6.4	3/9/1994	4500000	52700832	242895809	0.010588096	0.087249597	53.97684644
1994	67th	TRUE	Forrest Gump	Wendy Finerman	6.8	189	72	7.2	95	8.2	7/6/1994	55000000	330151138	679857164	0.129411642	0.244208674	12.36103935
1994	67th	FALSE	Quiz Show	Robert Redford	7.5	54266	96	8.2	87	7.2			31000000				
1994	67th	FALSE	The Shawshank Redemption	Niki Marvin	9.3	1723280	91	8.2	98	8.8	9/23/1994	25000000	28241469	28307092	0.058823397	0.010168073	1.13228368
1993	66th	FALSE	In the Name of the Father	Jim Sheridan	8.1	112426	94	7.8	95	8			13000000				
1993	66th	FALSE	The Piano	Jan Chapman	7.6	64713	90	8.2	86	7.4	11/12/1993	7000000	40157856	40157856	0.016470449	0.014424937	5.736836571
1993	66th	TRUE	Schindler's List	Steven Spielberg	8.9	882582	96	9	97	8.6	12/15/1993	25000000	96067179	321365567	0.058823397	0.115436394	12.85462268
1993	66th	FALSE	The Remains of the Day	Mike Nichols	7.9	46388	97	8.4	89	7.6	11/5/1993	15000000	22954968	63954968	0.035293982	0.022972999	4.263664533
1993	66th	FALSE	The Fugitive	Arnold Kopelson	7.8	216547	96	7.9	89	7.2	8/6/1993	44000000	183875760	353715317	0.103529285	0.127056613	8.038984477
1992	65th	TRUE	Unforgiven	Clint Eastwood	6.9	60	95	8.7	93	8	8/7/1992	14400000	101157447	159157447	0.033882217	0.057170287	11.05260049
1992	65th	FALSE	Scent of a Woman	Martin Brest	8	197623	88	7.1	92	7.6			31000000				
1992	65th	FALSE	Howards End	Ismail Merchant	7.5	21534	92	8.3	82	7.4	3/13/1992	8000000	26124872	26124872	0.018823391	0.009384207	3.265609
1992	65th	FALSE	A Few Good Men	David Brown	7.6	184755	81	7	89	7.2	12/11/1992	33000000	141340178	236500000	0.077646929	0.084952185	7.166666667
1992	65th	FALSE	The Crying Game	Stephen Woolley	7.3	41887	97	8.3	78	7	11/25/1992	4000000	62546695	62546695	0.009411625	0.022467139	15.63667375
1991	64th	FALSE	Bugsy	Mark Johnson	5.6	7	85	7	69	6.4			30000000				
1991	64th	FALSE	JFK	A. Kitman Ho and Oliver Stone	8	115134	85	7.7	88	7.6	12/20/1991	40000000	70405498	205400000	0.094117519	0.073780883	5.135
1991	64th	FALSE	Beauty and the Beast	Don Hahn	8	315149	93	8.4	92	7.4	11/13/1991	20000000	218951625	451421625	0.047058689	0.162153291	22.57108125
1991	64th	FALSE	The Prince of Tides	Barbra Streisand and Andrew Karsch	6.6	12709	73	6.5	70	6.8	12/25/1991	30000000	74787599	74787599	0.070588104	0.026864144	2.492919967
1991	64th	TRUE	The Silence of the Lambs	Edward Saxon	8.6	907352	95	8.5	95	8.2	2/14/1991	20000000	130726716	275726716	0.047058689	0.099042651	13.7863358
1990	63rd	FALSE	The Godfather Part III	Francis Ford Coppola	7.6	272143	67	6.4	78	7.4			54000000				
1990	63rd	FALSE	Ghost	Lisa Weinstein	7.9	8	73	6.5	55	6.2	7/13/1990	22000000	217631306	517600000	0.051764572	0.185924951	23.52727273
1990	63rd	FALSE	Awakenings	Walter F. Parkes and Lawrence Lasker	7.8	94263	88	6.7	89	7.4							
1990	63rd	FALSE	Good Fellas	Irwin Winkler	8.7	743934	96	8.9	97	8.6			25000000				
1990	63rd	TRUE	Dances With Wolves	Jim Wilson and Kevin Costner	8	189191	82	7.5	87	7.2			22000000				
1989	62nd	FALSE	Born on the Fourth of July	A. Kitman Ho and Oliver Stone	7.2	77999	90	7.5	76	6.8	12/20/1989	14000000	70001698	70001698	0.03294104	0.02514502	5.000121286
1989	62nd	FALSE	My Left Foot	Noel Pearson	7.9	50885	97	8.2	92	8							
1989	62nd	FALSE	Field of Dreams	Lawrence Gordon and Charles Gordon	7.5	87713	86	7.8	86	6.8							
1989	62nd	TRUE	Driving Miss Daisy	Richard D. Zanuck and Lili Fini Zanuck	7.4	73613	82	7.2	81	7	12/13/1989	7500000	106593296	106593296	0.01764692	0.038288936	14.21243947
1989	62nd	FALSE	Dead Poets Society	Steven Haft	8	282249	85	7.3	92	7.6	6/2/1989	16400000	95860116	239500000	0.0385881	0.086029802	14.60365854
1988	61st	FALSE	The Accidental Tourist	Lawrence Kasdan	6.8	12434	79	7.1	60	6.4							
1988	61st	FALSE	Mississippi Burning	Frederick Zollo and Robert F. Colesberry	7.8	66581	89	6.5	90	7.4							
1988	61st	FALSE	Dangerous Liaisons	Norma Heyman and Hank Moonjean	7.7	53433	93	7.7	83	7.4	12/21/1988	14000000	34700000	34700000	0.03294104	0.012464443	2.478571429
1988	61st	TRUE	Rain Man	Mark Johnson	8	388417	90	7.9	90	7.6	12/16/1988	25000000	172825435	412800000	0.058823397	0.148280177	16.512
1988	61st	FALSE	Working Girl	Douglas Wick	6.7	41840	84	6.8	67	6.4							
1987	60th	FALSE	Moonstruck	Patrick Palmer and Norman Jewison	7.1	35956	92	7.8	80	6.8							
1987	60th	FALSE	Fatal Attraction	Stanley R. Jaffe and Sherry Lansing	6.9	56229	78	6.7	71	6.6	9/18/1987	14000000	156645693	320100000	0.03294104	0.114981794	22.86428571
1987	60th	FALSE	Hope and Glory	John Boorman	7.4	9880	94	8.3	83	7.6							
1987	60th	TRUE	The Last Emperor	Jeremy Thomas	7.8	71398	92	8.1	88	7.4	11/20/1987	25000000	43984000	43987901	0.058823397	0.015800712	1.75951604
1987	60th	FALSE	Broadcast News	James L. Brooks	7.2	21537	98	8.1	78	7.2							
1986	59th	FALSE	A Room with a View	Ismail Merchant	7.4	30098	100	8.4	86	7.8	3/7/1986	3000000	20966644	20966644	0.007058683	0.007531341	6.988881333
1986	59th	TRUE	Platoon	Arnold Kopelson	8.1	296669	88	8.1	93	7.8	12/19/1986	6000000	137963328	137963328	0.014117508	0.049557235	22.993888
1986	59th	FALSE	The Mission	Fernando Ghia and David Puttnam	7.5	44803	65	6.4	87	7.6							
1986	59th	FALSE	Hannah and Her Sisters	Robert Greenhut	8	53541	93	8.5	91	7.8							
1986	59th	FALSE	Children of a Lesser God	Burt Sugarman and Patrick Palmer	7.2	11880	81	7.2	78	7.2							
1985	58th	FALSE	Prizzi's Honor	John Foreman	6.8	18802	88	7.1	62	6.6							
1985	58th	TRUE	Out of Africa	Sydney Pollack	7.2	53326	56	6.6	83	7.4	12/18/1985	31000000	79096868	258210860	0.072941046	0.092750853	8.329382581
1985	58th	FALSE	Witness	Edward S. Feldman	7.8	91	90	7.6	82	8.2	2/8/1985	12000000	65532576	65532576	0.028235157	0.023539685	5.461048
